motif_id	tf_name	tf_class	tf_family	tf_subfamily
BCL6_HUMAN.H11MO.0.A	BCL6	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	BCL6
BHA15_HUMAN.H11MO.0.B	BHA15	basic helix-loop-helix (bHLH) factors	Tal-related factors	Neurogenin/Atonal-like factors
BHE40_HUMAN.H11MO.0.A	BHE40	basic helix-loop-helix (bHLH) factors	Hairy-related factors	Hairy-like factors
MA1635.1	BHLHE22	basic helix-loop-helix (bHLH) factors	Tal-related factors	Neurogenin/Atonal-like factors
M07798_2.00	BHLHE40	basic helix-loop-helix (bHLH) factors	Hairy-related factors	Hairy-like factors
BMAL1_HUMAN.H11MO.0.A	BMAL1	basic helix-loop-helix (bHLH)	PAS domain factors	Arnt-like factors
BRAC_HUMAN.H11MO.0.A	BRAC	T-box factors	Brachyury-related factors	T (Brachyury)
CDX1_HUMAN.H11MO.0.C	CDX1	homeo domain factors	HOX-related factors	CDX (caudal type homeobox)
CDX2_HUMAN.H11MO.0.A	CDX2	homeo domain factors	HOX-related factors	CDX (caudal type homeobox)
M08131_2.00	CDX2	homeo domain factors	HOX-related factors	CDX (caudal type homeobox)
MA0465.2	CDX2	homeo domain factors	HOX-related factors	CDX (caudal type homeobox)
CEBPA_HUMAN.H11MO.0.A	CEBPA	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
M08076_2.00	CEBPA	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
MA0102.4	CEBPA	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPB_HUMAN.H11MO.0.A	CEBPB	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
M07830_2.00	CEBPB	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
M07831_2.00	CEBPB	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
M07832_2.00	CEBPB	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPD_HUMAN.H11MO.0.C	CEBPD	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
MA0836.2	CEBPD	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPE_HUMAN.H11MO.0.A	CEBPE	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CEBPG_HUMAN.H11MO.0.B	CEBPG	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
MA1636.1	CEBPG	basic leucine zipper (bZIP) factors	C/EBP-related	C/EBP
CLOCK_HUMAN.H11MO.0.C	CLOCK	basic helix-loop-helix (bHLH) factors	PAS domain factors	Arnt-like factors
COE1_HUMAN.H11MO.0.A	COE1	Rel homology region (RHR) factors	early B-cell factor-related factors	NA
COT1_HUMAN.H11MO.0.C	COT1	nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	COUP-like receptors (NR2F)
COT2_HUMAN.H11MO.0.A	COT2	nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	COUP-like receptors (NR2F)
CREB1_HUMAN.H11MO.0.A	CREB1	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
M08066_2.00	CREB1	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
MA0018.4	CREB1	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
CREM_HUMAN.H11MO.0.C	CREM	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
MA0609.2	CREM	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
CRX_HUMAN.H11MO.0.B	CRX	homeo domain factors	paired-related HD factors	OTX
CTCF_HUMAN.H11MO.0.A	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07862_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07863_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07864_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07865_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07866_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07867_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07868_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07869_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07870_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07871_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07872_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07873_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07874_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07875_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07876_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07877_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07878_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07879_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07880_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07881_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07882_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07883_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07884_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07885_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07886_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07887_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07888_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07889_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07890_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07891_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07892_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07893_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07894_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07895_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07896_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07897_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07898_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07899_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07900_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07901_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07902_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07903_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07904_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07905_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07906_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07907_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07908_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07909_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07910_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07911_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07912_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07913_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07914_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07915_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07916_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07917_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07918_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07919_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07920_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07921_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07922_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07923_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07924_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07925_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M08087_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M08238_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M08289_2.00	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
MA0139.1	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
MA1929.1	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
MA1930.1	CTCF	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CTCFL_HUMAN.H11MO.0.A	CTCFL	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M07930_2.00	CTCFL	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
M08089_2.00	CTCFL	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
MA1102.2	CTCFL	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	CTCF-like factors
CUX1_HUMAN.H11MO.0.C	CUX1	homeo domain factors	HD-CUT factors	CUX
DBP_HUMAN.H11MO.0.B	DBP	basic leucine zipper (bZIP) factors	C/EBP-related	PAR factors
DLX3_HUMAN.H11MO.0.C	DLX3	homeo domain factors	NK-related factors	DLX
DUX4_HUMAN.H11MO.0.A	DUX4	homeo domain factors	paired-related HD factors	DUX
M08135_2.00	DUX4	homeo domain factors	paired-related HD factors	DUX
MA0468.1	DUX4	homeo domain factors	paired-related HD factors	DUX
E2F1_HUMAN.H11MO.0.A	E2F1	forkhead/winged helix factors	E2F-related factors	E2F
M07938_2.00	E2F1	forkhead/winged helix factors	E2F-related factors	E2F
E2F2_HUMAN.H11MO.0.B	E2F2	forkhead/winged helix factors	E2F-related factors	E2F
E2F3_HUMAN.H11MO.0.A	E2F3	forkhead/winged helix factors	E2F-related factors	E2F
E2F4_HUMAN.H11MO.0.A	E2F4	forkhead/winged helix factors	E2F-related factors	E2F
M07942_2.00	E2F4	forkhead/winged helix factors	E2F-related factors	E2F
M07943_2.00	E2F4	forkhead/winged helix factors	E2F-related factors	E2F
M08109_2.00	E2F4	forkhead/winged helix factors	E2F-related factors	E2F
E2F5_HUMAN.H11MO.0.B	E2F5	forkhead/winged helix factors	E2F-related factors	E2F
E2F6_HUMAN.H11MO.0.A	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
M07939_2.00	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
M07940_2.00	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
M07941_2.00	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
M08107_2.00	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
MA0471.2	E2F6	forkhead/winged helix factors	E2F-related factors	E2F
E2F7_HUMAN.H11MO.0.B	E2F7	forkhead/winged helix factors	E2F-related factors	E2F
MA0154.4	EBF1	Rel homology region (RHR) factors	early B-cell factor-related factors	NA
MA1637.1	EBF3	Rel homology region (RHR) factors	early B-cell factor-related factors	NA
EGR1_HUMAN.H11MO.0.A	EGR1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
M07927_2.00	EGR1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
M07928_2.00	EGR1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
M07929_2.00	EGR1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
MA0162.4	EGR1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
EGR2_HUMAN.H11MO.0.A	EGR2	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
M08302_2.00	EGR2	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
M08349_2.00	EGR3	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	EGR factors
EHF_HUMAN.H11MO.0.B	EHF	tryptophan cluster factors	Ets-related factors	EHF-like factors
MA0598.3	EHF	tryptophan cluster factors	Ets-related factors	EHF-like factors
ELF1_HUMAN.H11MO.0.A	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
M07947_2.00	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
M07948_2.00	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
M07949_2.00	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
M08198_2.00	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
MA0473.3	ELF1	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
ELF2_HUMAN.H11MO.0.C	ELF2	tryptophan cluster factors	Ets-related factors	Elf-1-like factors
ELF3_HUMAN.H11MO.0.A	ELF3	tryptophan cluster factors	Ets-related factors	EHF-like factors
MA0640.2	ELF3	tryptophan cluster factors	Ets-related factors	EHF-like factors
ELF5_HUMAN.H11MO.0.A	ELF5	tryptophan cluster factors	Ets-related factors	EHF-like factors
ELK1_HUMAN.H11MO.0.B	ELK1	tryptophan cluster factors	Ets-related factors	Elk-like factors
ELK4_HUMAN.H11MO.0.A	ELK4	tryptophan cluster factors	Ets-related factors	Elk-like factors
M07957_2.00	ELK4	tryptophan cluster factors	Ets-related factors	Elk-like factors
M07958_2.00	ELK4	tryptophan cluster factors	Ets-related factors	Elk-like factors
M08112_2.00	ELK4	tryptophan cluster factors	Ets-related factors	Elk-like factors
MA0076.2	ELK4	tryptophan cluster factors	Ets-related factors	Elk-like factors
EPAS1_HUMAN.H11MO.0.B	EPAS1	basic helix-loop-helix (bHLH)	PAS domain factors	Ahr-like factors
ERG_HUMAN.H11MO.0.A	ERG	tryptophan cluster factors	Ets-related factors	Ets-like factors
ERR1_HUMAN.H11MO.0.A	ERR1	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ERR2_HUMAN.H11MO.0.A	ERR2	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ERR3_HUMAN.H11MO.0.B	ERR3	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESR1_HUMAN.H11MO.0.A	ESR1	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
M07985_2.00	ESR1	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
M08217_2.00	ESR1	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
M08218_2.00	ESR1	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ESR2_HUMAN.H11MO.0.A	ESR2	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
M08154_2.00	ESR2	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
MA0258.2	ESR2	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
M07988_2.00	ESRRA	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
M07989_2.00	ESRRA	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
MA0592.3	ESRRA	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	ER-like receptors (NR3A&B)
ETS1_HUMAN.H11MO.0.A	ETS1	tryptophan cluster factors	Ets-related factors	Ets-like factors
M07950_2.00	ETS1	tryptophan cluster factors	Ets-related factors	Ets-like factors
M07951_2.00	ETS1	tryptophan cluster factors	Ets-related factors	Ets-like factors
ETS2_HUMAN.H11MO.0.B	ETS2	tryptophan cluster factors	Ets-related factors	Ets-like factors
ETV1_HUMAN.H11MO.0.A	ETV1	tryptophan cluster factors	Ets-related factors	Elk-like factors
MA0761.2	ETV1	tryptophan cluster factors	Ets-related factors	Elk-like factors
ETV2_HUMAN.H11MO.0.B	ETV2	tryptophan cluster factors	Ets-related factors	Ets-like factors
ETV4_HUMAN.H11MO.0.B	ETV4	tryptophan cluster factors	Ets-related factors	Elk-like factors
ETV5_HUMAN.H11MO.0.C	ETV5	tryptophan cluster factors	Ets-related factors	Elk-like factors
EVI1_HUMAN.H11MO.0.B	EVI1	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	Evi-1-like factors
MA0149.1	EWSR1-FLI1	tryptophan cluster factors	Ets-related factors	Ets-like factors
FEV_HUMAN.H11MO.0.B	FEV	tryptophan cluster factors	Ets-related factors	Ets-like factors
FEZF1_HUMAN.H11MO.0.C	FEZF1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	FEZF factors
M08307_2.00	FEZF1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	FEZF factors
FLI1_HUMAN.H11MO.0.A	FLI1	tryptophan cluster factors	Ets-related factors	Ets-like factors
M08111_2.00	FLI1	tryptophan cluster factors	Ets-related factors	Ets-like factors
FOS_HUMAN.H11MO.0.A	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
M07826_2.00	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
M07827_2.00	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
M07828_2.00	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
M08069_2.00	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
MA0476.1	FOS	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSB_HUMAN.H11MO.0.A	FOSB	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSL1_HUMAN.H11MO.0.A	FOSL1	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
M07833_2.00	FOSL1	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
M08071_2.00	FOSL1	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
MA0477.2	FOSL1	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOSL2_HUMAN.H11MO.0.A	FOSL2	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
M07812_2.00	FOSL2	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
M08064_2.00	FOSL2	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
MA0478.1	FOSL2	basic leucine zipper (bZIP) factors	Fos-related factors	Fos factors
FOXA1_HUMAN.H11MO.0.A	FOXA1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
M07960_2.00	FOXA1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
M07961_2.00	FOXA1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
M07962_2.00	FOXA1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
M08028_2.00	FOXA1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
M08117_2.00	FOXA1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
M08199_2.00	FOXA1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
MA0148.4	FOXA1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
FOXA2_HUMAN.H11MO.0.A	FOXA2	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
M07959_2.00	FOXA2	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
MA0047.3	FOXA2	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
FOXA3_HUMAN.H11MO.0.B	FOXA3	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
MA1683.1	FOXA3	forkhead/winged helix factors	forkhead box (FOX) factors	FOXA
FOXC1_HUMAN.H11MO.0.C	FOXC1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXC
FOXH1_HUMAN.H11MO.0.A	FOXH1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXH
M08119_2.00	FOXH1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXH
MA0479.1	FOXH1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXH
FOXI1_HUMAN.H11MO.0.B	FOXI1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXI
FOXJ2_HUMAN.H11MO.0.C	FOXJ2	forkhead/winged helix factors	forkhead box (FOX) factors	FOXJ
FOXJ3_HUMAN.H11MO.0.A	FOXJ3	forkhead/winged helix factors	forkhead box (FOX) factors	FOXJ
FOXK1_HUMAN.H11MO.0.A	FOXK1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXK
M08120_2.00	FOXK1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXK
MA0852.2	FOXK1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXK
M08118_2.00	FOXK2	forkhead/winged helix factors	forkhead box (FOX) factors	FOXK
MA1103.2	FOXK2	forkhead/winged helix factors	forkhead box (FOX) factors	FOXK
FOXM1_HUMAN.H11MO.0.A	FOXM1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXM
FOXO1_HUMAN.H11MO.0.A	FOXO1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXO
FOXO3_HUMAN.H11MO.0.B	FOXO3	forkhead/winged helix factors	forkhead box (FOX) factors	FOXO
FOXO4_HUMAN.H11MO.0.C	FOXO4	forkhead/winged helix factors	forkhead box (FOX) factors	FOXO
