Motif_ID	Motif_Type	MSource_Identifier	MSource_Type	TF_Status	TF_Name	TF_Species
M04048_2.00	SELEX	Yin2017	SELEX	I	TFAP2D	Homo_sapiens
M04049_2.00	SELEX	Yin2017	SELEX	I	TFAP2D	Homo_sapiens
M04050_2.00	SELEX	Yin2017	SELEX	I	TFAP2D	Homo_sapiens
M04051_2.00	SELEX	Yin2017	SELEX	I	TFAP2D	Homo_sapiens
M04052_2.00	SELEX	Yin2017	SELEX	I	TFAP2D	Homo_sapiens
M04053_2.00	SELEX	Yin2017	SELEX	I	TFAP2D	Homo_sapiens
M04054_2.00	SELEX	Yin2017	SELEX	I	TFAP2D	Homo_sapiens
M04055_2.00	SELEX	Yin2017	SELEX	I	TFAP2D	Homo_sapiens
M07783_2.00	ChIP-seq	ENCODE	ChIP-seq	I	TFAP2D	Homo_sapiens
M07784_2.00	ChIP-seq	ENCODE	ChIP-seq	I	TFAP2D	Homo_sapiens
M08701_2.00	Misc	HocoMoco	Misc	I	TFAP2D	Homo_sapiens
M08702_2.00	Misc	HocoMoco	Misc	I	TFAP2D	Homo_sapiens
M08703_2.00	Misc	HocoMoco	Misc	I	TFAP2D	Homo_sapiens
M08704_2.00	Misc	HocoMoco	Misc	I	TFAP2D	Homo_sapiens
M08705_2.00	Misc	HocoMoco	Misc	I	TFAP2D	Homo_sapiens
M08706_2.00	Misc	HocoMoco	Misc	I	TFAP2D	Homo_sapiens
M09451_2.00	Misc	HOMER	Misc	I	TFAP2D	Homo_sapiens
M09750_2.00	Transfac	Transfac	Transfac	I	TFAP2D	Homo_sapiens
M09751_2.00	Transfac	Transfac	Transfac	I	TFAP2D	Homo_sapiens
M09752_2.00	Transfac	Transfac	Transfac	I	TFAP2D	Homo_sapiens
M09753_2.00	Transfac	Transfac	Transfac	I	TFAP2D	Homo_sapiens
M09754_2.00	Transfac	Transfac	Transfac	I	TFAP2D	Homo_sapiens
M09755_2.00	Transfac	Transfac	Transfac	I	TFAP2D	Homo_sapiens
M09756_2.00	Transfac	Transfac	Transfac	I	TFAP2D	Homo_sapiens
M09757_2.00	Transfac	Transfac	Transfac	I	TFAP2D	Homo_sapiens
M09758_2.00	Transfac	Transfac	Transfac	I	TFAP2D	Homo_sapiens
M09759_2.00	Transfac	Transfac	Transfac	I	TFAP2D	Homo_sapiens
M09760_2.00	Transfac	Transfac	Transfac	I	TFAP2D	Homo_sapiens
M02756_2.00	SELEX	Jolma2013	SELEX	D	TFAP2C	Homo_sapiens
M02757_2.00	SELEX	Jolma2013	SELEX	D	TFAP2C	Homo_sapiens
M02758_2.00	SELEX	Jolma2013	SELEX	D	TFAP2C	Homo_sapiens
M02759_2.00	SELEX	Jolma2013	SELEX	D	TFAP2C	Homo_sapiens
M02760_2.00	SELEX	Jolma2013	SELEX	D	TFAP2C	Homo_sapiens
M02761_2.00	SELEX	Jolma2013	SELEX	D	TFAP2C	Homo_sapiens
M04048_2.00	SELEX	Yin2017	SELEX	D	TFAP2C	Homo_sapiens
M04049_2.00	SELEX	Yin2017	SELEX	D	TFAP2C	Homo_sapiens
M07783_2.00	ChIP-seq	ENCODE	ChIP-seq	D	TFAP2C	Homo_sapiens
M08702_2.00	Misc	HocoMoco	Misc	D	TFAP2C	Homo_sapiens
M09451_2.00	Misc	HOMER	Misc	D	TFAP2C	Homo_sapiens
M09751_2.00	Transfac	Transfac	Transfac	D	TFAP2C	Homo_sapiens
M09752_2.00	Transfac	Transfac	Transfac	D	TFAP2C	Homo_sapiens
M09753_2.00	Transfac	Transfac	Transfac	D	TFAP2C	Homo_sapiens
M09754_2.00	Transfac	Transfac	Transfac	D	TFAP2C	Homo_sapiens
M04050_2.00	SELEX	Yin2017	SELEX	D	TFAP2E	Homo_sapiens
M04051_2.00	SELEX	Yin2017	SELEX	D	TFAP2E	Homo_sapiens
M04052_2.00	SELEX	Yin2017	SELEX	D	TFAP2E	Homo_sapiens
M04053_2.00	SELEX	Yin2017	SELEX	D	TFAP2E	Homo_sapiens
M02762_2.00	SELEX	Jolma2013	SELEX	D	TFAP2A	Homo_sapiens
M02763_2.00	SELEX	Jolma2013	SELEX	D	TFAP2A	Homo_sapiens
M02764_2.00	SELEX	Jolma2013	SELEX	D	TFAP2A	Homo_sapiens
M02765_2.00	SELEX	Jolma2013	SELEX	D	TFAP2A	Homo_sapiens
M02766_2.00	SELEX	Jolma2013	SELEX	D	TFAP2A	Homo_sapiens
M02767_2.00	SELEX	Jolma2013	SELEX	D	TFAP2A	Homo_sapiens
M04054_2.00	SELEX	Yin2017	SELEX	D	TFAP2A	Homo_sapiens
M04055_2.00	SELEX	Yin2017	SELEX	D	TFAP2A	Homo_sapiens
M07784_2.00	ChIP-seq	ENCODE	ChIP-seq	D	TFAP2A	Homo_sapiens
M08703_2.00	Misc	HocoMoco	Misc	D	TFAP2A	Homo_sapiens
M09755_2.00	Transfac	Transfac	Transfac	D	TFAP2A	Homo_sapiens
M09756_2.00	Transfac	Transfac	Transfac	D	TFAP2A	Homo_sapiens
M09757_2.00	Transfac	Transfac	Transfac	D	TFAP2A	Homo_sapiens
M09758_2.00	Transfac	Transfac	Transfac	D	TFAP2A	Homo_sapiens
M09759_2.00	Transfac	Transfac	Transfac	D	TFAP2A	Homo_sapiens
M09760_2.00	Transfac	Transfac	Transfac	D	TFAP2A	Homo_sapiens
M09766_2.00	Transfac	Transfac	Transfac	D	ARID3A	Homo_sapiens
M08707_2.00	Misc	HocoMoco	Misc	D	ARID5B	Homo_sapiens
M09767_2.00	Transfac	Transfac	Transfac	D	ARID5B	Homo_sapiens
M00115_2.00	PBM	Badis09	PBM	I	ARID3B	Homo_sapiens
M01655_2.00	PBM	Zoo_01	PBM	I	ARID3B	Homo_sapiens
M01656_2.00	PBM	Zoo_01	PBM	I	ARID3B	Homo_sapiens
M01658_2.00	PBM	Zoo_01	PBM	I	ARID3B	Homo_sapiens
M01659_2.00	PBM	Zoo_01	PBM	I	ARID3B	Homo_sapiens
M01660_2.00	PBM	Zoo_01	PBM	I	ARID3B	Homo_sapiens
M01662_2.00	PBM	Zoo_01	PBM	I	ARID3B	Homo_sapiens
M01664_2.00	PBM	Zoo_01	PBM	I	ARID3B	Homo_sapiens
M01665_2.00	PBM	Zoo_01	PBM	I	ARID3B	Homo_sapiens
M01666_2.00	PBM	Zoo_01	PBM	I	ARID3B	Homo_sapiens
M01667_2.00	PBM	Zoo_01	PBM	I	ARID3B	Homo_sapiens
M02651_2.00	SELEX	JASPAR	JASPAR	I	ARID3B	Homo_sapiens
M03590_2.00	SELEX	Nitta2015	SELEX	I	ARID3B	Homo_sapiens
M05899_2.00	B1H	FlyFactorSurvey	B1H	I	ARID3B	Homo_sapiens
M09766_2.00	Transfac	Transfac	Transfac	I	ARID3B	Homo_sapiens
M09768_2.00	Transfac	Transfac	Transfac	I	ARID3B	Homo_sapiens
M00116_2.00	PBM	Badis09	PBM	I	ARID5A	Homo_sapiens
M01657_2.00	PBM	Zoo_01	PBM	I	ARID5A	Homo_sapiens
M01661_2.00	PBM	Zoo_01	PBM	I	ARID5A	Homo_sapiens
M01663_2.00	PBM	Zoo_01	PBM	I	ARID5A	Homo_sapiens
M01668_2.00	PBM	Zoo_01	PBM	I	ARID5A	Homo_sapiens
M08707_2.00	Misc	HocoMoco	Misc	I	ARID5A	Homo_sapiens
M08708_2.00	Misc	HocoMoco	Misc	I	ARID5A	Homo_sapiens
M09767_2.00	Transfac	Transfac	Transfac	I	ARID5A	Homo_sapiens
M00115_2.00	PBM	Badis09	PBM	I	ARID3C	Homo_sapiens
M01655_2.00	PBM	Zoo_01	PBM	I	ARID3C	Homo_sapiens
M01656_2.00	PBM	Zoo_01	PBM	I	ARID3C	Homo_sapiens
M01658_2.00	PBM	Zoo_01	PBM	I	ARID3C	Homo_sapiens
M01659_2.00	PBM	Zoo_01	PBM	I	ARID3C	Homo_sapiens
M01660_2.00	PBM	Zoo_01	PBM	I	ARID3C	Homo_sapiens
M01662_2.00	PBM	Zoo_01	PBM	I	ARID3C	Homo_sapiens
M01664_2.00	PBM	Zoo_01	PBM	I	ARID3C	Homo_sapiens
M01665_2.00	PBM	Zoo_01	PBM	I	ARID3C	Homo_sapiens
M01666_2.00	PBM	Zoo_01	PBM	I	ARID3C	Homo_sapiens
M01667_2.00	PBM	Zoo_01	PBM	I	ARID3C	Homo_sapiens
M02651_2.00	SELEX	JASPAR	JASPAR	I	ARID3C	Homo_sapiens
M03590_2.00	SELEX	Nitta2015	SELEX	I	ARID3C	Homo_sapiens
M05899_2.00	B1H	FlyFactorSurvey	B1H	I	ARID3C	Homo_sapiens
M09766_2.00	Transfac	Transfac	Transfac	I	ARID3C	Homo_sapiens
M09768_2.00	Transfac	Transfac	Transfac	I	ARID3C	Homo_sapiens
M09769_2.00	Transfac	Transfac	Transfac	D	HMGA1	Homo_sapiens
M09770_2.00	Transfac	Transfac	Transfac	D	HMGA1	Homo_sapiens
M09771_2.00	Transfac	Transfac	Transfac	D	HMGA2	Homo_sapiens
M02771_2.00	SELEX	Jolma2013	SELEX	D	ZBED1	Homo_sapiens
M04056_2.00	SELEX	Yin2017	SELEX	D	ZBED1	Homo_sapiens
M04057_2.00	SELEX	Yin2017	SELEX	D	ZBED1	Homo_sapiens
M09776_2.00	Transfac	Transfac	Transfac	D	ZBED1	Homo_sapiens
M09777_2.00	Transfac	Transfac	Transfac	I	ZBED6	Homo_sapiens
M02772_2.00	SELEX	Jolma2013	SELEX	D	MLXIPL	Homo_sapiens
M09788_2.00	Transfac	Transfac	Transfac	D	MLXIPL	Homo_sapiens
M09789_2.00	Transfac	Transfac	Transfac	D	MLXIPL	Homo_sapiens
M08754_2.00	Misc	HocoMoco	Misc	I	MXD1	Homo_sapiens
M02773_2.00	SELEX	Jolma2013	SELEX	D	TFE3	Homo_sapiens
M04058_2.00	SELEX	Yin2017	SELEX	D	TFE3	Homo_sapiens
M04059_2.00	SELEX	Yin2017	SELEX	D	TFE3	Homo_sapiens
M08709_2.00	Misc	HocoMoco	Misc	D	TFE3	Homo_sapiens
M09790_2.00	Transfac	Transfac	Transfac	D	TFE3	Homo_sapiens
M04060_2.00	SELEX	Yin2017	SELEX	D	HES2	Homo_sapiens
M04061_2.00	SELEX	Yin2017	SELEX	D	HES2	Homo_sapiens
M02774_2.00	SELEX	Jolma2013	SELEX	D	MNT	Homo_sapiens
M02775_2.00	SELEX	Jolma2013	SELEX	D	TCF3	Homo_sapiens
M08710_2.00	Misc	HocoMoco	Misc	D	TCF3	Homo_sapiens
M09791_2.00	Transfac	Transfac	Transfac	D	TCF3	Homo_sapiens
M09792_2.00	Transfac	Transfac	Transfac	D	TCF3	Homo_sapiens
M09793_2.00	Transfac	Transfac	Transfac	D	TCF3	Homo_sapiens
M09794_2.00	Transfac	Transfac	Transfac	D	TCF3	Homo_sapiens
M09795_2.00	Transfac	Transfac	Transfac	D	TCF3	Homo_sapiens
M04062_2.00	SELEX	Yin2017	SELEX	D	SREBF1	Homo_sapiens
M04063_2.00	SELEX	Yin2017	SELEX	D	SREBF1	Homo_sapiens
M04064_2.00	SELEX	Yin2017	SELEX	D	SREBF1	Homo_sapiens
M04065_2.00	SELEX	Yin2017	SELEX	D	SREBF1	Homo_sapiens
M08048_2.00	ChIP-seq	JASPAR	JASPAR	D	SREBF1	Homo_sapiens
M08711_2.00	Misc	HocoMoco	Misc	D	SREBF1	Homo_sapiens
M09796_2.00	Transfac	Transfac	Transfac	D	SREBF1	Homo_sapiens
M09797_2.00	Transfac	Transfac	Transfac	D	SREBF1	Homo_sapiens
M09798_2.00	Transfac	Transfac	Transfac	D	SREBF1	Homo_sapiens
M09799_2.00	Transfac	Transfac	Transfac	D	SREBF1	Homo_sapiens
M09800_2.00	Transfac	Transfac	Transfac	D	SREBF1	Homo_sapiens
M09801_2.00	Transfac	Transfac	Transfac	D	SREBF1	Homo_sapiens
M02776_2.00	SELEX	Jolma2013	SELEX	D	TFAP4	Homo_sapiens
M02777_2.00	SELEX	Jolma2013	SELEX	D	TFAP4	Homo_sapiens
M04066_2.00	SELEX	Yin2017	SELEX	D	TFAP4	Homo_sapiens
M04067_2.00	SELEX	Yin2017	SELEX	D	TFAP4	Homo_sapiens
M04068_2.00	SELEX	Yin2017	SELEX	D	TFAP4	Homo_sapiens
M04069_2.00	SELEX	Yin2017	SELEX	D	TFAP4	Homo_sapiens
M04070_2.00	SELEX	Yin2017	SELEX	D	TFAP4	Homo_sapiens
M04071_2.00	SELEX	Yin2017	SELEX	D	TFAP4	Homo_sapiens
M04072_2.00	SELEX	Yin2017	SELEX	D	TFAP4	Homo_sapiens
M04073_2.00	SELEX	Yin2017	SELEX	D	TFAP4	Homo_sapiens
M08712_2.00	Misc	HocoMoco	Misc	D	TFAP4	Homo_sapiens
M09453_2.00	Misc	HOMER	Misc	D	TFAP4	Homo_sapiens
M09802_2.00	Transfac	Transfac	Transfac	D	TFAP4	Homo_sapiens
M09803_2.00	Transfac	Transfac	Transfac	D	TFAP4	Homo_sapiens
M09804_2.00	Transfac	Transfac	Transfac	D	TFAP4	Homo_sapiens
M09805_2.00	Transfac	Transfac	Transfac	D	TFAP4	Homo_sapiens
M09806_2.00	Transfac	Transfac	Transfac	D	TFAP4	Homo_sapiens
M08049_2.00	ChIP-seq	JASPAR	JASPAR	D	HIF1A	Homo_sapiens
M08713_2.00	Misc	HocoMoco	Misc	D	HIF1A	Homo_sapiens
M09454_2.00	Misc	HOMER	Misc	D	HIF1A	Homo_sapiens
M09807_2.00	Transfac	Transfac	Transfac	D	HIF1A	Homo_sapiens
M09808_2.00	Transfac	Transfac	Transfac	D	HIF1A	Homo_sapiens
M09809_2.00	Transfac	Transfac	Transfac	D	HIF1A	Homo_sapiens
M09810_2.00	Transfac	Transfac	Transfac	D	HIF1A	Homo_sapiens
M09811_2.00	Transfac	Transfac	Transfac	D	HIF1A	Homo_sapiens
M04074_2.00	SELEX	Yin2017	SELEX	D	TCFL5	Homo_sapiens
M04075_2.00	SELEX	Yin2017	SELEX	D	TCFL5	Homo_sapiens
M08714_2.00	Misc	HocoMoco	Misc	D	LYL1	Homo_sapiens
M04076_2.00	SELEX	Yin2017	SELEX	D	USF2	Homo_sapiens
M04077_2.00	SELEX	Yin2017	SELEX	D	USF2	Homo_sapiens
M07785_2.00	ChIP-seq	ENCODE	ChIP-seq	D	USF2	Homo_sapiens
M07786_2.00	ChIP-seq	ENCODE	ChIP-seq	D	USF2	Homo_sapiens
M07787_2.00	ChIP-seq	ENCODE	ChIP-seq	D	USF2	Homo_sapiens
M07788_2.00	ChIP-seq	ENCODE	ChIP-seq	D	USF2	Homo_sapiens
M07789_2.00	ChIP-seq	ENCODE	ChIP-seq	D	USF2	Homo_sapiens
M08050_2.00	ChIP-seq	JASPAR	JASPAR	D	USF2	Homo_sapiens
M08715_2.00	Misc	HocoMoco	Misc	D	USF2	Homo_sapiens
M09812_2.00	Transfac	Transfac	Transfac	D	USF2	Homo_sapiens
M09813_2.00	Transfac	Transfac	Transfac	D	USF2	Homo_sapiens
M09814_2.00	Transfac	Transfac	Transfac	D	USF2	Homo_sapiens
M09815_2.00	Transfac	Transfac	Transfac	D	USF2	Homo_sapiens
M02778_2.00	SELEX	Jolma2013	SELEX	D	TFEC	Homo_sapiens
M04078_2.00	SELEX	Yin2017	SELEX	D	TFEC	Homo_sapiens
M04079_2.00	SELEX	Yin2017	SELEX	D	TFEC	Homo_sapiens
M08716_2.00	Misc	HocoMoco	Misc	D	AHR	Homo_sapiens
M09816_2.00	Transfac	Transfac	Transfac	D	AHR	Homo_sapiens
M09817_2.00	Transfac	Transfac	Transfac	D	AHR	Homo_sapiens
M09818_2.00	Transfac	Transfac	Transfac	D	AHR	Homo_sapiens
M09819_2.00	Transfac	Transfac	Transfac	D	AHR	Homo_sapiens
M02779_2.00	SELEX	Jolma2013	SELEX	D	MLX	Homo_sapiens
M04080_2.00	SELEX	Yin2017	SELEX	D	MLX	Homo_sapiens
M04081_2.00	SELEX	Yin2017	SELEX	D	MLX	Homo_sapiens
M04082_2.00	SELEX	Yin2017	SELEX	D	MLX	Homo_sapiens
M04083_2.00	SELEX	Yin2017	SELEX	D	MLX	Homo_sapiens
M02780_2.00	SELEX	Jolma2013	SELEX	D	MYF6	Homo_sapiens
M04084_2.00	SELEX	Yin2017	SELEX	D	MYF6	Homo_sapiens
M04085_2.00	SELEX	Yin2017	SELEX	D	MYF6	Homo_sapiens
M04086_2.00	SELEX	Yin2017	SELEX	D	MYF6	Homo_sapiens
M04087_2.00	SELEX	Yin2017	SELEX	D	MYF6	Homo_sapiens
M05831_2.00	SMiLE-seq	Isakova2017	SMiLE-seq	D	MYF6	Homo_sapiens
M08717_2.00	Misc	HocoMoco	Misc	D	MYF6	Homo_sapiens
M09820_2.00	Transfac	Transfac	Transfac	D	MYF6	Homo_sapiens
M09821_2.00	Transfac	Transfac	Transfac	D	MYF5	Homo_sapiens
M02727_2.00	SELEX	Jolma2010	SELEX	D	TFEB	Homo_sapiens
M02781_2.00	SELEX	Jolma2013	SELEX	D	TFEB	Homo_sapiens
M04088_2.00	SELEX	Yin2017	SELEX	D	TFEB	Homo_sapiens
M04089_2.00	SELEX	Yin2017	SELEX	D	TFEB	Homo_sapiens
M08718_2.00	Misc	HocoMoco	Misc	D	TFEB	Homo_sapiens
M08769_2.00	Misc	HocoMoco	Misc	I	HAND1	Homo_sapiens
M04090_2.00	SELEX	Yin2017	SELEX	D	HES1	Homo_sapiens
M04091_2.00	SELEX	Yin2017	SELEX	D	HES1	Homo_sapiens
M09822_2.00	Transfac	Transfac	Transfac	D	HES1	Homo_sapiens
M09823_2.00	Transfac	Transfac	Transfac	D	HES1	Homo_sapiens
M09824_2.00	Transfac	Transfac	Transfac	D	HES1	Homo_sapiens
M09825_2.00	Transfac	Transfac	Transfac	D	HES1	Homo_sapiens
M08719_2.00	Misc	HocoMoco	Misc	D	EPAS1	Homo_sapiens
M09455_2.00	Misc	HOMER	Misc	D	EPAS1	Homo_sapiens
M09826_2.00	Transfac	Transfac	Transfac	D	EPAS1	Homo_sapiens
M09827_2.00	Transfac	Transfac	Transfac	D	EPAS1	Homo_sapiens
M04092_2.00	SELEX	Yin2017	SELEX	D	TCF21	Homo_sapiens
M04093_2.00	SELEX	Yin2017	SELEX	D	TCF21	Homo_sapiens
M04094_2.00	SELEX	Yin2017	SELEX	D	TCF21	Homo_sapiens
M04095_2.00	SELEX	Yin2017	SELEX	D	TCF21	Homo_sapiens
M07790_2.00	ChIP-seq	ENCODE	ChIP-seq	D	MXI1	Homo_sapiens
M08051_2.00	ChIP-seq	JASPAR	JASPAR	D	MXI1	Homo_sapiens
M08181_2.00	ChIP-seq	modENCODE	ChIP-seq	D	MXI1	Homo_sapiens
M08182_2.00	ChIP-seq	modENCODE	ChIP-seq	D	MXI1	Homo_sapiens
M08720_2.00	Misc	HocoMoco	Misc	D	MXI1	Homo_sapiens
M09828_2.00	Transfac	Transfac	Transfac	D	MXI1	Homo_sapiens
M01113_2.00	PBM	TF_Evolution	PBM	D	SOHLH2	Homo_sapiens
M04096_2.00	SELEX	Yin2017	SELEX	D	SOHLH2	Homo_sapiens
M04097_2.00	SELEX	Yin2017	SELEX	D	SOHLH2	Homo_sapiens
M04098_2.00	SELEX	Yin2017	SELEX	D	MYOG	Homo_sapiens
M04099_2.00	SELEX	Yin2017	SELEX	D	MYOG	Homo_sapiens
M04100_2.00	SELEX	Yin2017	SELEX	D	MYOG	Homo_sapiens
M04101_2.00	SELEX	Yin2017	SELEX	D	MYOG	Homo_sapiens
M04102_2.00	SELEX	Yin2017	SELEX	D	MYOG	Homo_sapiens
M04103_2.00	SELEX	Yin2017	SELEX	D	MYOG	Homo_sapiens
M04104_2.00	SELEX	Yin2017	SELEX	D	MYOG	Homo_sapiens
M04105_2.00	SELEX	Yin2017	SELEX	D	MYOG	Homo_sapiens
M08721_2.00	Misc	HocoMoco	Misc	D	MYOG	Homo_sapiens
M09829_2.00	Transfac	Transfac	Transfac	D	MYOG	Homo_sapiens
M09830_2.00	Transfac	Transfac	Transfac	D	MYOG	Homo_sapiens
M08052_2.00	ChIP-seq	JASPAR	JASPAR	D	TWIST1	Homo_sapiens
M08722_2.00	Misc	HocoMoco	Misc	D	TWIST1	Homo_sapiens
M09831_2.00	Transfac	Transfac	Transfac	D	TWIST1	Homo_sapiens
M09832_2.00	Transfac	Transfac	Transfac	D	TWIST1	Homo_sapiens
M02799_2.00	SELEX	Jolma2013	SELEX	I	NEUROG3	Homo_sapiens
M02800_2.00	SELEX	Jolma2013	SELEX	I	NEUROG3	Homo_sapiens
M04179_2.00	SELEX	Yin2017	SELEX	I	NEUROG3	Homo_sapiens
M04180_2.00	SELEX	Yin2017	SELEX	I	NEUROG3	Homo_sapiens
M04181_2.00	SELEX	Yin2017	SELEX	I	NEUROG3	Homo_sapiens
M04182_2.00	SELEX	Yin2017	SELEX	I	NEUROG3	Homo_sapiens
M08758_2.00	Misc	HocoMoco	Misc	I	NEUROG3	Homo_sapiens
M09879_2.00	Transfac	Transfac	Transfac	I	NEUROG3	Homo_sapiens
M02782_2.00	SELEX	Jolma2013	SELEX	D	BHLHE41	Homo_sapiens
M02783_2.00	SELEX	Jolma2013	SELEX	D	BHLHE41	Homo_sapiens
M04106_2.00	SELEX	Yin2017	SELEX	D	BHLHE41	Homo_sapiens
M04107_2.00	SELEX	Yin2017	SELEX	D	BHLHE41	Homo_sapiens
M09833_2.00	Transfac	Transfac	Transfac	D	BHLHE41	Homo_sapiens
M09834_2.00	Transfac	Transfac	Transfac	D	BHLHE41	Homo_sapiens
M02795_2.00	SELEX	Jolma2013	SELEX	I	NEUROD4	Homo_sapiens
M04148_2.00	SELEX	Yin2017	SELEX	I	NEUROD4	Homo_sapiens
M04149_2.00	SELEX	Yin2017	SELEX	I	NEUROD4	Homo_sapiens
M04160_2.00	SELEX	Yin2017	SELEX	I	NEUROD4	Homo_sapiens
M04161_2.00	SELEX	Yin2017	SELEX	I	NEUROD4	Homo_sapiens
M08057_2.00	ChIP-seq	JASPAR	JASPAR	I	NEUROD4	Homo_sapiens
M08735_2.00	Misc	HocoMoco	Misc	I	NEUROD4	Homo_sapiens
M08737_2.00	Misc	HocoMoco	Misc	I	NEUROD4	Homo_sapiens
M08764_2.00	Misc	HocoMoco	Misc	I	NEUROD4	Homo_sapiens
M08770_2.00	Misc	HocoMoco	Misc	I	NEUROD4	Homo_sapiens
M09474_2.00	Misc	HOMER	Misc	I	NEUROD4	Homo_sapiens
M09873_2.00	Transfac	Transfac	Transfac	I	NEUROD4	Homo_sapiens
M09874_2.00	Transfac	Transfac	Transfac	I	NEUROD4	Homo_sapiens
M09885_2.00	Transfac	Transfac	Transfac	I	HIF3A	Homo_sapiens
M02784_2.00	SELEX	Jolma2013	SELEX	D	BHLHE23	Homo_sapiens
M04108_2.00	SELEX	Yin2017	SELEX	D	BHLHE23	Homo_sapiens
M04109_2.00	SELEX	Yin2017	SELEX	D	BHLHE23	Homo_sapiens
M04110_2.00	SELEX	Yin2017	SELEX	D	BHLHE23	Homo_sapiens
M04111_2.00	SELEX	Yin2017	SELEX	D	BHLHE23	Homo_sapiens
M00938_2.00	PBM	Guo2014	PBM	D	MAX	Homo_sapiens
M01497_2.00	PBM	Yin2017b	PBM	D	MAX	Homo_sapiens
M01498_2.00	PBM	Yin2017b	PBM	D	MAX	Homo_sapiens
M02785_2.00	SELEX	Jolma2013	SELEX	D	MAX	Homo_sapiens
M02786_2.00	SELEX	Jolma2013	SELEX	D	MAX	Homo_sapiens
M04112_2.00	SELEX	Yin2017	SELEX	D	MAX	Homo_sapiens
M04113_2.00	SELEX	Yin2017	SELEX	D	MAX	Homo_sapiens
M04114_2.00	SELEX	Yin2017	SELEX	D	MAX	Homo_sapiens
M04115_2.00	SELEX	Yin2017	SELEX	D	MAX	Homo_sapiens
M05832_2.00	SMiLE-seq	Isakova2017	SMiLE-seq	D	MAX	Homo_sapiens
M07791_2.00	ChIP-seq	ENCODE	ChIP-seq	D	MAX	Homo_sapiens
M07792_2.00	ChIP-seq	ENCODE	ChIP-seq	D	MAX	Homo_sapiens
M07793_2.00	ChIP-seq	ENCODE	ChIP-seq	D	MAX	Homo_sapiens
M07794_2.00	ChIP-seq	ENCODE	ChIP-seq	D	MAX	Homo_sapiens
M07795_2.00	ChIP-seq	ENCODE	ChIP-seq	D	MAX	Homo_sapiens
M07796_2.00	ChIP-seq	ENCODE	ChIP-seq	D	MAX	Homo_sapiens
M07797_2.00	ChIP-seq	ENCODE	ChIP-seq	D	MAX	Homo_sapiens
M08723_2.00	Misc	HocoMoco	Misc	D	MAX	Homo_sapiens
M09835_2.00	Transfac	Transfac	Transfac	D	MAX	Homo_sapiens
M09836_2.00	Transfac	Transfac	Transfac	D	MAX	Homo_sapiens
M09837_2.00	Transfac	Transfac	Transfac	D	MAX	Homo_sapiens
M04116_2.00	SELEX	Yin2017	SELEX	D	MYOD1	Homo_sapiens
M04117_2.00	SELEX	Yin2017	SELEX	D	MYOD1	Homo_sapiens
